ProjectId,HoursWorked
PRJ166,38.36
PRJ165,28.880000000000003
PRJ168,19.45
PRJ167,14.720000000000002
PRJ169,26.83
PRJ160,20.63
PRJ162,35.83
PRJ161,31.720000000000006
PRJ164,16.06
PRJ163,16.32
PRJ155,11.290000000000001
PRJ154,10.780000000000001
PRJ157,18.22
PRJ156,21.55
PRJ159,17.16
PRJ151,39.22
PRJ150,31.189999999999998
PRJ153,25.859999999999996
PRJ152,29.93
PRJ188,36.160000000000004
PRJ100,18.0
PRJ102,25.01
PRJ189,25.96
PRJ101,26.04
PRJ106,37.480000000000004
PRJ105,36.68
PRJ180,35.97
PRJ182,16.66
PRJ181,22.060000000000002
PRJ183,37.79
PRJ185,25.6
PRJ108,21.97
PRJ107,18.09
PRJ176,14.65
PRJ179,36.53000000000001
PRJ178,15.350000000000001
PRJ171,16.19
PRJ170,20.65
PRJ175,17.72
PRJ122,22.939999999999998
PRJ121,26.61
PRJ124,22.490000000000002
PRJ126,13.72
PRJ125,21.24
PRJ128,16.93
PRJ127,11.34
PRJ120,14.23
PRJ129,16.57
PRJ111,23.009999999999998
PRJ199,10.600000000000001
PRJ110,23.740000000000002
PRJ113,15.09
PRJ112,36.879999999999995
PRJ115,11.049999999999999
PRJ114,41.269999999999996
PRJ117,35.11
PRJ116,11.63
PRJ191,46.120000000000005
PRJ190,47.88
PRJ193,27.66
PRJ192,24.73
PRJ195,34.08
PRJ197,16.18
PRJ196,43.379999999999995
PRJ118,13.17
PRJ144,12.31
PRJ143,30.72
PRJ148,35.05
PRJ147,28.65
PRJ140,24.4
PRJ132,15.419999999999998
PRJ135,28.270000000000003
PRJ134,24.67
PRJ137,46.300000000000004
PRJ136,19.71
PRJ139,15.879999999999999
PRJ131,13.83
PRJ130,13.31
