EmployeeId,FromMonth,ToMonth,DropPercent
E031,APRIL-2025,FEBRUARY-2025,64.0
E032,APRIL-2025,FEBRUARY-2025,69.0909090909091
E033,APRIL-2025,FEBRUARY-2025,78.4
E034,APRIL-2025,FEBRUARY-2025,70.8108108108108
E035,APRIL-2025,FEBRUARY-2025,72.3076923076923
E036,APRIL-2025,FEBRUARY-2025,70.0
E037,APRIL-2025,FEBRUARY-2025,81.17647058823529
E038,APRIL-2025,FEBRUARY-2025,76.27906976744185
E039,APRIL-2025,FEBRUARY-2025,73.48837209302326
E051,JUNE-2025,MAY-2025,75.86206896551724
E040,APRIL-2025,FEBRUARY-2025,78.82352941176471
E071,AUGUST-2025,FEBRUARY-2025,56.36363636363636
E072,AUGUST-2025,FEBRUARY-2025,74.5
E073,AUGUST-2025,FEBRUARY-2025,60.6896551724138
E074,AUGUST-2025,FEBRUARY-2025,61.29032258064516
E075,AUGUST-2025,FEBRUARY-2025,73.65853658536585
E076,AUGUST-2025,FEBRUARY-2025,80.0
E077,AUGUST-2025,FEBRUARY-2025,73.48837209302326
E078,AUGUST-2025,FEBRUARY-2025,75.38461538461539
E079,AUGUST-2025,FEBRUARY-2025,77.33333333333333
E061,JULY-2025,JUNE-2025,50.0
E011,FEBRUARY-2025,JANUARY-2025,67.17171717171718
E080,AUGUST-2025,FEBRUARY-2025,62.5
E081,AUGUST-2025,FEBRUARY-2025,79.6
