Employee ID, Average Hours Worked (Last 30 days)
EMP0009,6.184444444444444
EMP0008,6.274
EMP0019,5.922499999999999
EMP0021,4.668333333333333
EMP0010,4.609999999999999
EMP0020,5.53625
EMP0012,3.936666666666666
EMP0023,3.9475000000000002
EMP0001,5.93
EMP0011,5.19
EMP0022,2.28
EMP0003,4.6025
EMP0014,6.293333333333333
EMP0002,3.0300000000000002
EMP0024,6.8
EMP0013,4.241666666666667
EMP0016,5.294
EMP0005,3.3620000000000005
EMP0015,7.74
EMP0004,4.886666666666667
EMP0007,6.734285714285714
EMP0018,6.03
EMP0006,4.395
EMP0017,5.82875
