Employee ID, Task Category, % Time Spent
EMP0009,Training,14.04394299287411
EMP0009,Bug Fix,5.671021377672209
EMP0009,Documentation,5.843230403800475
EMP0009,Development,20.29691211401425
EMP0009,Deployment,11.306413301662706
EMP0009,Client Meeting,8.877672209026127
EMP0009,Code Review,7.802850356294537
EMP0009,Design Review,4.311163895486936
EMP0009,Monitoring,20.724465558194773
EMP0009,Testing,1.1223277909738716
EMP0019,Training,16.703939446069157
EMP0019,Documentation,28.625494581111305
EMP0019,Development,7.5348357130569426
EMP0019,Deployment,7.638052640633066
EMP0019,Client Meeting,16.10184070187511
EMP0019,Design Review,13.91708240151385
EMP0019,Monitoring,9.478754515740581
EMP0008,Training,10.266812295209862
EMP0008,Documentation,15.205180215322203
EMP0008,Development,6.272429396161646
EMP0008,Deployment,4.0958027773443595
EMP0008,Client Meeting,12.591667966921516
EMP0008,Code Review,23.3499765954127
EMP0008,Monitoring,19.137150881572786
EMP0008,Testing,9.080979872054924
EMP0021,Training,15.171085429413097
EMP0021,Development,16.168139587582143
EMP0021,Deployment,20.06571493315205
EMP0021,Code Review,14.355313845456605
EMP0021,Monitoring,22.331747110808973
EMP0021,Design Review,8.044414230682074
EMP0021,Testing,3.8635848629050535
EMP0010,Training,9.72543497938248
EMP0010,Documentation,12.269938650306749
EMP0010,Development,12.088906768580912
EMP0010,Client Meeting,11.394951221965202
EMP0010,Deployment,26.59157196017299
EMP0010,Code Review,16.8862516343156
EMP0010,Testing,11.042944785276076
EMP0020,Training,1.5410813111962538
EMP0020,Bug Fix,13.36739037888463
EMP0020,Documentation,21.38782460621541
EMP0020,Development,3.7122179650915283
EMP0020,Deployment,6.138782460621541
EMP0020,Client Meeting,16.994465730097915
EMP0020,Code Review,16.994465730097915
EMP0020,Monitoring,5.483184333759047
EMP0020,Design Review,3.439761600681141
EMP0020,Testing,10.940825883354618
EMP0012,Training,26.606270115627606
EMP0012,Bug Fix,16.97460960781976
EMP0012,Documentation,9.357491953748957
