===== Task 12: Project-wise productivity =====
Project: PRJ166
EMP0009,6.92,6.92
EMP0020,4.4,4.40
EMP0022,18.65,9.33
EMP0013,8.39,8.39

Project: PRJ165
EMP0008,4.45,4.45
EMP0020,14.580000000000002,7.29
EMP0014,2.12,2.12
EMP0017,7.73,7.73

Project: PRJ168
EMP0009,9.84,9.84
EMP0001,1.07,1.07
EMP0004,8.54,8.54

Project: PRJ167
EMP0023,9.33,4.67
EMP0015,2.35,2.35
EMP0007,7.14,7.14
EMP0018,3.04,3.04

Project: PRJ169
EMP0014,5.06,5.06
EMP0024,8.44,8.44
EMP0018,7.24,7.24
EMP0007,6.09,6.09

Project: PRJ160
EMP0010,5.12,5.12
EMP0020,7.64,7.64
EMP0001,7.87,7.87

Project: PRJ162
EMP0001,8.77,8.77
EMP0023,1.66,1.66
EMP0014,7.98,7.98
EMP0016,6.32,6.32
EMP0007,8.79,8.79
EMP0006,12.76,6.38

Project: PRJ161
EMP0009,8.76,8.76
EMP0008,8.73,8.73
EMP0021,7.24,7.24
EMP0013,6.99,6.99

Project: PRJ164
EMP0008,8.94,8.94
EMP0012,2.27,2.27
EMP0005,3.21,3.21
EMP0017,8.94,4.47

Project: PRJ163
EMP0003,8.85,8.85
EMP0005,3.58,3.58
EMP0015,3.89,3.89

Project: PRJ155
EMP0008,2.58,2.58
EMP0011,8.71,8.71

Project: PRJ154
EMP0023,6.34,6.34
EMP0017,4.44,4.44

Project: PRJ157
EMP0012,3.04,3.04
EMP0023,7.46,7.46
EMP0014,1.0,1.00
EMP0015,1.21,1.21
EMP0006,5.51,5.51

Project: PRJ156
EMP0008,1.37,1.37
EMP0020,4.36,4.36
EMP0023,9.15,9.15
EMP0005,6.67,6.67

Project: PRJ159
EMP0019,8.09,8.09
EMP0022,2.58,2.58
EMP0024,6.49,6.49

Project: PRJ158
EMP0001,4.5,4.50
EMP0003,2.51,2.51
EMP0013,2.13,2.13

Project: PRJ151
EMP0021,8.37,8.37
EMP0020,7.89,7.89
EMP0012,5.52,5.52
EMP0016,3.4,3.40
EMP0004,14.04,7.02

Project: PRJ150
EMP0010,8.77,8.77
EMP0002,4.87,4.87
EMP0013,2.88,2.88
EMP0024,3.44,3.44
EMP0004,2.79,2.79
EMP0015,8.44,8.44

Project: PRJ153
EMP0008,7.199999999999999,3.60
EMP0003,1.56,1.56
EMP0013,8.52,8.52
EMP0016,3.88,3.88
EMP0018,4.7,4.70

Project: PRJ152
EMP0023,9.46,9.46
EMP0011,7.67,7.67
EMP0004,12.8,6.40

Project: PRJ100
EMP0023,3.08,3.08
EMP0024,8.77,8.77
EMP0007,6.15,6.15

Project: PRJ188
EMP0010,8.02,8.02
EMP0021,7.49,7.49
EMP0003,8.65,8.65
EMP0013,2.78,2.78
EMP0002,3.94,3.94
EMP0004,5.28,5.28

Project: PRJ187
EMP0004,2.72,2.72

Project: PRJ102
EMP0009,3.34,3.34
EMP0021,3.0,3.00
EMP0023,2.22,2.22
EMP0013,1.87,1.87
EMP0004,17.92,8.96

Project: PRJ101
EMP0010,8.1,8.10
EMP0020,1.81,1.81
EMP0001,6.03,6.03
EMP0014,9.6,9.60
EMP0013,2.31,2.31

Project: PRJ189
EMP0009,1.89,1.89
EMP0014,9.35,9.35
EMP0024,7.73,7.73
EMP0013,3.41,3.41
EMP0006,3.58,3.58

Project: PRJ104
EMP0009,4.93,4.93
EMP0008,1.94,1.94
EMP0004,1.09,1.09

Project: PRJ106
EMP0010,6.36,6.36
EMP0011,9.82,9.82
EMP0002,2.2,2.20
EMP0016,7.05,7.05
EMP0015,2.52,2.52
EMP0006,3.71,3.71
EMP0017,5.82,5.82

Project: PRJ105
EMP0009,14.030000000000001,7.02
EMP0008,9.32,9.32
EMP0001,8.05,8.05
EMP0017,5.28,5.28

Project: PRJ180
EMP0008,9.45,9.45
EMP0021,2.52,2.52
EMP0001,2.69,2.69
EMP0014,3.71,3.71
EMP0002,2.12,2.12
EMP0005,7.44,7.44
EMP0004,4.53,4.53
EMP0006,5.63,5.63

Project: PRJ182
EMP0009,9.8,9.80
EMP0021,3.41,3.41
EMP0018,2.31,2.31
EMP0007,10.940000000000001,5.47

Project: PRJ181
EMP0020,9.620000000000001,4.81
EMP0001,3.86,3.86
EMP0016,8.58,8.58

Project: PRJ184
EMP0008,4.67,4.67
EMP0013,2.16,2.16

Project: PRJ183
EMP0021,12.04,6.02
EMP0010,5.84,5.84
EMP0014,8.93,8.93
EMP0003,3.36,3.36
EMP0015,3.86,3.86
EMP0017,3.76,3.76

Project: PRJ186
EMP0019,9.36,9.36
EMP0020,5.97,5.97

Project: PRJ185
EMP0008,6.74,6.74
EMP0021,8.5,8.50
EMP0010,2.17,2.17
EMP0004,8.19,8.19

Project: PRJ108
EMP0009,10.0,10.00
EMP0020,8.96,8.96
EMP0001,4.67,4.67
EMP0003,5.99,5.99
EMP0005,2.03,2.03
EMP0004,1.93,1.93
EMP0006,4.05,4.05

Project: PRJ107
EMP0009,9.66,9.66
EMP0023,2.3899999999999997,1.19
EMP0005,6.04,6.04

Project: PRJ109
EMP0019,5.51,5.51
EMP0015,1.91,1.91
EMP0006,1.05,1.05

Project: PRJ177
EMP0010,6.18,6.18
EMP0012,3.74,3.74

Project: PRJ176
EMP0019,4.24,4.24
EMP0004,4.22,4.22
EMP0018,6.1899999999999995,3.09

Project: PRJ179
EMP0019,4.38,4.38
EMP0012,8.09,8.09
EMP0005,3.73,3.73
EMP0016,1.63,1.63
EMP0015,9.03,9.03
EMP0018,9.67,9.67

Project: PRJ178
EMP0004,8.4,8.40
EMP0015,6.95,6.95

Project: PRJ171
EMP0001,8.08,8.08
EMP0014,4.0,4.00
EMP0007,4.11,4.11

Project: PRJ170
EMP0019,8.6,8.60
EMP0008,2.97,2.97
EMP0015,9.08,9.08

Project: PRJ173
EMP0009,1.52,1.52
EMP0024,5.16,5.16

Project: PRJ172
EMP0010,3.65,3.65

Project: PRJ175
EMP0008,7.43,7.43
EMP0010,1.95,1.95
EMP0003,4.97,4.97
EMP0024,3.37,3.37

Project: PRJ174
EMP0022,2.28,2.28

Project: PRJ122
EMP0023,4.6,4.60
EMP0001,6.27,3.14
EMP0024,8.3,8.30
EMP0017,3.77,3.77

Project: PRJ121
EMP0001,4.55,4.55
EMP0012,15.55,7.78
EMP0024,2.3,2.30
EMP0004,3.21,3.21
EMP0015,1.0,1.00

Project: PRJ124
EMP0019,9.71,9.71
EMP0020,1.63,1.63
EMP0014,3.06,3.06
EMP0013,8.09,8.09

Project: PRJ123
EMP0021,3.47,3.47
EMP0002,4.15,4.15
EMP0007,9.43,9.43

Project: PRJ126
EMP0021,4.51,4.51
EMP0012,1.67,1.67
EMP0016,7.54,7.54

Project: PRJ125
EMP0010,6.72,6.72
EMP0003,7.5,7.50
EMP0004,6.0,6.00
EMP0007,1.02,1.02

Project: PRJ128
EMP0021,9.39,9.39
EMP0001,5.29,5.29
EMP0011,2.25,2.25

Project: PRJ127
EMP0012,9.47,9.47
EMP0017,1.87,1.87

Project: PRJ120
EMP0003,7.91,7.91
EMP0005,6.319999999999999,3.16

Project: PRJ129
EMP0009,6.88,3.44
EMP0020,6.4,6.40
EMP0015,3.29,3.29

Project: PRJ199
EMP0010,3.09,3.09
EMP0015,6.4,6.40
EMP0018,1.11,1.11

Project: PRJ111
EMP0009,7.26,7.26
EMP0021,1.5,1.50
EMP0011,3.05,3.05
EMP0014,8.26,8.26
EMP0018,2.94,2.94

Project: PRJ198
EMP0020,4.6,4.60

Project: PRJ110
EMP0010,5.03,5.03
EMP0023,8.43,8.43
EMP0016,2.1,2.10
EMP0004,6.65,6.65
EMP0018,3.63,3.63

Project: PRJ113
EMP0019,2.48,2.48
EMP0024,8.28,8.28
EMP0015,1.01,1.01
EMP0004,3.32,3.32

Project: PRJ112
EMP0010,5.18,5.18
EMP0012,6.04,6.04
EMP0001,3.32,3.32
EMP0022,6.68,6.68
EMP0011,9.29,9.29
EMP0017,6.37,6.37

Project: PRJ115
EMP0009,2.49,2.49
EMP0008,2.12,2.12
EMP0010,1.42,1.42
EMP0002,1.08,1.08
EMP0013,3.94,3.94

Project: PRJ114
EMP0019,1.32,1.32
EMP0010,7.72,7.72
EMP0023,6.66,6.66
EMP0014,7.14,7.14
EMP0016,4.03,4.03
EMP0007,14.4,7.20

Project: PRJ117
EMP0009,8.53,8.53
EMP0010,4.38,4.38
EMP0003,3.35,3.35
EMP0013,10.97,5.49
EMP0005,7.88,7.88

Project: PRJ116
EMP0009,5.9,5.90
EMP0012,5.73,5.73

Project: PRJ191
EMP0008,9.06,9.06
EMP0003,2.38,2.38
EMP0024,4.88,4.88
EMP0016,7.85,7.85
EMP0005,12.14,6.07
EMP0006,3.18,3.18
EMP0017,6.63,6.63

Project: PRJ190
EMP0009,6.52,6.52
EMP0023,8.32,8.32
EMP0012,4.62,4.62
EMP0024,8.44,8.44
EMP0016,4.75,4.75
EMP0018,3.48,3.48
EMP0017,11.75,5.88

Project: PRJ193
EMP0008,1.56,1.56
EMP0020,7.52,7.52
EMP0014,9.41,9.41
EMP0004,1.06,1.06
EMP0007,8.11,8.11

Project: PRJ192
EMP0009,1.48,1.48
EMP0014,18.099999999999998,6.03
EMP0017,5.15,5.15

Project: PRJ195
EMP0008,5.93,2.97
EMP0011,3.42,3.42
EMP0003,5.44,5.44
EMP0002,6.62,6.62
EMP0004,3.89,3.89
EMP0018,8.78,8.78

Project: PRJ194
EMP0015,8.91,8.91

Project: PRJ197
EMP0003,7.72,7.72
EMP0005,5.54,2.77
EMP0016,2.92,2.92

Project: PRJ196
EMP0009,8.68,8.68
EMP0019,4.44,4.44
EMP0010,1.15,1.15
EMP0012,7.85,7.85
EMP0011,7.83,7.83
EMP0013,7.1,7.10
EMP0015,3.65,3.65
EMP0006,2.68,2.68

Project: PRJ119
EMP0023,1.9,1.90
EMP0022,7.71,7.71

Project: PRJ118
EMP0010,5.15,5.15
EMP0007,8.02,8.02

Project: PRJ144
EMP0010,3.43,3.43
EMP0003,7.86,7.86
EMP0017,1.02,1.02

Project: PRJ143
EMP0022,6.74,6.74
EMP0011,7.11,7.11
EMP0024,7.86,7.86
EMP0005,4.24,4.24
EMP0004,1.39,1.39
EMP0015,4.77,4.77

Project: PRJ146
EMP0023,4.31,4.31

Project: PRJ145
EMP0020,1.57,1.57

Project: PRJ148
EMP0008,5.45,5.45
EMP0024,8.41,8.41
EMP0018,8.52,8.52
EMP0007,6.36,6.36
EMP0017,6.31,6.31

Project: PRJ147
EMP0008,8.04,4.02
EMP0020,6.35,6.35
EMP0024,6.09,6.09
EMP0016,3.19,3.19
EMP0007,8.17,8.17

Project: PRJ149
EMP0009,1.15,1.15
EMP0008,3.95,3.95

Project: PRJ140
EMP0009,11.559999999999999,5.78
EMP0008,7.79,7.79
EMP0022,8.73,8.73

Project: PRJ142
EMP0014,3.4,3.40
EMP0013,1.59,1.59
EMP0017,5.0,5.00

Project: PRJ141
EMP0009,1.26,1.26
EMP0014,2.78,2.78
EMP0018,2.08,2.08

Project: PRJ133
EMP0023,2.52,2.52
EMP0006,4.24,4.24

